1,Beste alde batetik hainbat herrietara joateko Kokapen ona du .
0,Komunean kiratsa zegoen .
1,Oso ongi egon ginen .
1,Hiribarnea 15 minututara oinez .
1,"Erraztasun guztiak eman zizkiguten : dokumentu bat inprimatu , 12 : 00etatik aurrera igerilekua erabiltzen utzi ."
1,"Lekua benetan zoragarria da , etxea oso polita eta gustu askorekin egina dago ."
1,Mila esker denagaitik .
1,"Hotela oso goxoa , polita eta oso garbia da ."
0,Spa-ingurua nahiko txikia da .
0,Kotxez heltzeko sarrera zaila .
1,"Kokapena , Rambla del Ravalen alboan eta gertu , oinez joateko , Bartzelonako leku ezagunenetik ."
1,Ez dugu inoiz ahaztuko !
1,Benetan toki atsegina eta atentzioa ezin hobea .
1,"Bertako neska , Juliettek asko zaintzen ditu detaileak eta oso jatorra da , edozein galderari erantzuteko beti prest ."
1,Ongi kokatua .
1,"Oso tratu ona , tratu familiarra ta gertukoa ."
1,"Hotela erdialdetik oso hurbil dago baina , aldi berea , oso lasaia da ."
1,Logela eta komuna handiak .
0,"Ematen du atzerritarrak ez zaizkiola gustatzen , oso aproposa ez hoten batean lan egiteko ."
1,Lekua ondo dago : garbi eta txukun .
0,Gu egon garen egun gehienetan goizez lanean egon den emakumearen jarrera benetan zakarra izan da .
1,Zalantzarik gabe gomendagarria !
1,"Bilboko hotel zoragarri honetan asteburu berezi bat pasatzea pentsatu genuen , eta egia esateko hotelak bere maila eman zuen ."
1,"Ubikazio desberdin bat , toki berriak esploratzeko ."
1,Gosaria eta afaria oso goxoak .
0,"Gauzak falta dira , gauzak apurtuta daude eta 3 egunetan ez digute logela garbitu ."
1,Landetxe politta da .
1,Zalantzarik gabe itzultzeko modukoa .
1,Zure etxean pasatutako 7 egunak ahaztu ezinak izan dira guretzako .
1,"Hotela oso ondo dago , leku paregabean edzein lekutara oinez joateko moduan ."
1,Logela ondo egokitua .
0,Apartamentuetara igotzeko eskailera egia esan ez erosoena .
1,Gelak primeran dekoratuta daude eta bainugela denak bere dutxa dute .
1,Behean dagoen jatetxean ondo jaten da .
1,Inguru lasaia .
1,"Soniak ( etxeko andreak ) oso ondo azaldu zigun ze tokik ikustera jun behar genun turista guztiekin batera Portofinora jun ordez , eta egia esateko munduko arrazoi guztia izan zun ."
1,Tren geltokitik gertu zegoen eta baita metro geltokitik ere .
1,Jabeak oso-oso atseginak .
1,Hurren arte !!!
1,"Apartamendu pollita da , garbia , eta baziren gauza guziak bakantza onak pasatzeko ."
1,Umeak ere oso gustora egon ziren .
1,"Parajea zoragarria da , gela bikaina eta Irunek eman zigun tratua paregabea ."
1,"Alla corte rossa , oso gomendagarria eta kokapen ezinobeko hotel familiarra ."
1,Aho batez gomendatzen dugu alokairu hau .
1,Gau bat egiteko leku aproposa
1,Jatetxeko langileen jarrera oso atsegina .
1,"Aukera badezute , jun !!!"
1,Guk sei gau eman genduzan gustora eta gomendatzen dogu .
1,"Holandara itzuliez gero , zalantzarik gabe bertan hartuko dugu aterpe berriro ."
1,Amaitzeko esan behar dugu oso eroso sentitu ginela eta bertako jendea oso atsegina izan zela .
1,Sukaldea izatea oso interesgarria .
1,Haurrekin joateko oso toki egokia iruditzen zait .
1,"Hortik itzultzekotan , ezbairik gabe , zuen etxean geratuko gara ."
1,"Kokapen ezin hobean dago : erdi-erdian , baina kale lasai batean ."
1,Etxea oso zabala eta polita .
1,Mendi txangoa egiterakoan Polok bikain gomendatu zigun .
1,"Eraikina eta jabea , Carmen , ikaragarriak dira ."
